date,h_theoretical,h_actual,h_ecm_base,rho_t,ect,beta0,beta1,r_squared_coint,sigma_ecm,sigma_f,vol_ratio,correlation_adjustment
2014-03-25,,0.5380370958184636,0.5380370958184636,,,,,,,0.006885910636221972,,
2014-03-26,,0.5380370958184636,0.5380370958184636,,,,,,,0.007723005501345355,,
2014-03-27,,0.5380370958184636,0.5380370958184636,,,,,,,0.007551335467545657,,
2014-03-28,,0.5380370958184636,0.5380370958184636,,,,,,,0.0074571005541772305,,
2014-03-31,,0.5380370958184636,0.5380370958184636,,,,,,,0.007467734011231535,,
2014-04-01,,0.5380370958184636,0.5380370958184636,,,,,,,0.0076259724997925485,,
2014-04-02,,0.5380370958184636,0.5380370958184636,,,,,,,0.007467044634221551,,
2014-04-03,,0.5380370958184636,0.5380370958184636,,,,,,,0.007517065099245148,,
2014-04-04,,0.5380370958184636,0.5380370958184636,,,,,,,0.007520741424864114,,
2014-04-08,,0.5380370958184636,0.5380370958184636,,,,,,,0.007712841713624732,,
2014-04-09,,0.5380370958184636,0.5380370958184636,,,,,,,0.008127829718457874,,
2014-04-10,,0.5380370958184636,0.5380370958184636,,,,,,,0.008190123731148765,,
2014-04-11,,0.5380370958184636,0.5380370958184636,,,,,,,0.008004573746795736,,
2014-04-14,,0.5380370958184636,0.5380370958184636,,,,,,,0.007863761556001707,,
2014-04-15,,0.5380370958184636,0.5380370958184636,,,,,,,0.007692657235472287,,
2014-04-16,,0.5380370958184636,0.5380370958184636,,,,,,,0.007564587162890168,,
2014-04-17,,0.5380370958184636,0.5380370958184636,,,,,,,0.007719134192055654,,
2014-04-18,,0.5380370958184636,0.5380370958184636,,,,,,,0.007557496838526351,,
2014-04-21,,0.5380370958184636,0.5380370958184636,,,,,,,0.008583732255864701,,
2014-04-22,,0.5380370958184636,0.5380370958184636,,,,,,,0.008431934621443921,,
2014-04-23,,0.5380370958184636,0.5380370958184636,,,,,,,0.008302651893847848,,
2014-04-24,,0.5380370958184636,0.5380370958184636,,,,,,,0.008355760111856762,,
2014-04-25,,0.5380370958184636,0.5380370958184636,,,,,,,0.008193274560386609,,
2014-04-28,,0.5380370958184636,0.5380370958184636,,,,,,,0.008043850960728597,,
2014-04-29,,0.5380370958184636,0.5380370958184636,,,,,,,0.008470264323891967,,
2014-04-30,,0.5380370958184636,0.5380370958184636,,,,,,,0.008477504002100037,,
2014-05-05,,0.5380370958184636,0.5380370958184636,,,,,,,0.008351522546729146,,
2014-05-06,,0.5380370958184636,0.5380370958184636,,,,,,,0.0081760554081436,,
2014-05-07,,0.5380370958184636,0.5380370958184636,,,,,,,0.008001184660600787,,
2014-05-08,,0.5380370958184636,0.5380370958184636,,,,,,,0.007863550589832869,,
2014-05-09,,0.5380370958184636,0.5380370958184636,,,,,,,0.007828505419995375,,
2014-05-12,,0.5380370958184636,0.5380370958184636,,,,,,,0.0076686788139778625,,
2014-05-13,,0.5380370958184636,0.5380370958184636,,,,,,,0.007637636733121647,,
2014-05-14,,0.5380370958184636,0.5380370958184636,,,,,,,0.007504066920246027,,
2014-05-15,,0.5380370958184636,0.5380370958184636,,,,,,,0.0073434389559579065,,
2014-05-16,,0.5380370958184636,0.5380370958184636,,,,,,,0.007414988380168819,,
2014-05-19,,0.5380370958184636,0.5380370958184636,,,,,,,0.007567042847240523,,
2014-05-20,,0.5380370958184636,0.5380370958184636,,,,,,,0.0074249043927301665,,
2014-05-21,,0.5380370958184636,0.5380370958184636,,,,,,,0.007268342699701745,,
2014-05-22,,0.5380370958184636,0.5380370958184636,,,,,,,0.007189025175897238,,
2014-05-23,,0.5380370958184636,0.5380370958184636,,,,,,,0.007063488475081969,,
2014-05-26,,0.5380370958184636,0.5380370958184636,,,,,,,0.00692809831051261,,
2014-05-27,,0.5380370958184636,0.5380370958184636,,,,,,,0.007637821605130428,,
2014-05-28,,0.5380370958184636,0.5380370958184636,,,,,,,0.007555748165698246,,
2014-05-29,,0.5380370958184636,0.5380370958184636,,,,,,,0.007688010961123958,,
2014-05-30,,0.5380370958184636,0.5380370958184636,,,,,,,0.007521826913248186,,
2014-06-03,,0.5380370958184636,0.5380370958184636,,,,,,,0.00810445152222106,,
2014-06-04,,0.5380370958184636,0.5380370958184636,,,,,,,0.00792204116340344,,
2014-06-05,,0.5380370958184636,0.5380370958184636,,,,,,,0.007751196625423204,,
2014-06-06,,0.5380370958184636,0.5380370958184636,,,,,,,0.007608445685758062,,
2014-06-09,,0.5380370958184636,0.5380370958184636,,,,,,,0.0075085149192685744,,
