date,h_theoretical,h_actual,h_ecm_base,rho_t,ect,beta0,beta1,r_squared_coint,sigma_ecm,sigma_f
2021-01-06,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-07,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-08,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-11,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-12,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-13,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-14,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-15,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-18,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-19,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-20,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-21,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-22,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-25,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-26,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-27,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-28,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-01-29,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-01,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-02,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-03,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-04,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-05,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-08,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-09,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-10,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-18,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-19,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-22,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-23,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-24,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-25,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-02-26,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-01,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-02,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-03,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-04,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-05,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-08,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-09,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-10,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-11,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-12,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-15,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-16,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-17,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-18,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-19,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-22,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-23,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-24,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-25,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-26,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-29,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-30,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-03-31,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-04-01,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-04-02,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-04-06,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-04-07,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-04-08,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-04-09,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-04-12,,0.6368434752075454,0.6368434752075454,,,,,,,
2021-04-13,,0.6368434752075454,0.6368434752075454,,,,,,,
